Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1927	3	-1.083634	-0.495881	-0.655519
1927	4	-0.893173	-0.471069	-0.589794
1927	5	-0.682379	-0.493578	-0.545647
1927	6	-0.493022	-0.515824	-0.509479
1927	7	-0.321685	-0.474334	-0.43173
1927	8	-0.514213	-0.429327	-0.45333
1927	9	-0.108646	-0.456087	-0.359345
1927	10	0.144311	-0.418687	-0.261256
1927	11	-0.164635	-0.384751	-0.32387
1927	12	-1.05653	-0.437108	-0.612303
1928	1	-0.336864	-0.419626	-0.396282
1928	2	-0.65168	-0.445811	-0.504744
1928	3	-0.972039	-0.468715	-0.611998
1928	4	-0.775875	-0.495732	-0.573896
1928	5	-0.556648	-0.524592	-0.533556
1928	6	-0.673563	-0.551935	-0.586128
1928	7	-0.390609	-0.481481	-0.456124
1928	8	-0.476209	-0.504361	-0.496485
1928	9	-0.335224	-0.500449	-0.453335
1928	10	-0.241527	-0.499506	-0.426861
1928	11	-0.054722	-0.5019	-0.373942
1928	12	-0.425624	-0.542135	-0.508981
1929	1	-1.356437	-0.589343	-0.807722
1929	2	-1.690331	-0.597398	-0.910186
1929	3	-0.765059	-0.621902	-0.662462
1929	4	-0.833834	-0.593284	-0.662013
1929	5	-0.72649	-0.611148	-0.643228
1929	6	-0.851416	-0.599992	-0.670308
1929	7	-0.731387	-0.590003	-0.62994
1929	8	-0.527932	-0.549557	-0.543355
1929	9	-0.515808	-0.507491	-0.509866
